FECHA,PROVINCIA,TIPO_TRANSPORTE,TOTAL_VIAJES
2024-01-14,LA PAMPA,COLECTIVO,2175
2024-01-14,MENDOZA,COLECTIVO,233467
2024-01-14,NEUQUÉN,COLECTIVO,32590
2024-01-14,RÍO NEGRO,COLECTIVO,27560
2024-01-14,SAN JUAN,COLECTIVO,100011
2024-01-14,SAN LUIS,COLECTIVO,16369
2024-01-14,SANTA CRUZ,COLECTIVO,1560
2024-01-14,SANTA FE,COLECTIVO,160767
2024-01-14,TIERRA DEL FUEGO,COLECTIVO,9180
2024-01-15,BUENOS AIRES,COLECTIVO,4448278
2024-01-15,BUENOS AIRES,LANCHAS,1118
2024-01-15,CATAMARCA,COLECTIVO,34472
2024-01-15,CHACO,COLECTIVO,74539
2024-01-15,CHUBUT,COLECTIVO,65313
2024-01-15,CORDOBA,COLECTIVO,2866
2024-01-15,CORRIENTES,COLECTIVO,60066
2024-01-15,ENTRE RÍOS,COLECTIVO,81212
2024-01-15,FORMOSA,COLECTIVO,22263
2024-01-15,JUJUY,COLECTIVO,82964
2024-01-15,LA PAMPA,COLECTIVO,7435
2024-01-15,MENDOZA,COLECTIVO,530283
2024-01-15,NEUQUÉN,COLECTIVO,75357
2024-01-15,RÍO NEGRO,COLECTIVO,55645
2024-01-15,SAN JUAN,COLECTIVO,218564
2024-01-15,SAN LUIS,COLECTIVO,42582
2024-01-15,SANTA CRUZ,COLECTIVO,6019
2024-01-15,SANTA FE,COLECTIVO,447448
2024-01-15,SANTIAGO DEL ESTERO,COLECTIVO,1013
2024-01-15,TIERRA DEL FUEGO,COLECTIVO,20539
2024-01-16,BUENOS AIRES,COLECTIVO,3762602
2024-01-16,BUENOS AIRES,LANCHAS,290
2024-01-16,CATAMARCA,COLECTIVO,36070
2024-01-16,CHACO,COLECTIVO,73252
2024-01-16,CHUBUT,COLECTIVO,66425
2024-01-16,CORDOBA,COLECTIVO,2598
2024-01-16,CORRIENTES,COLECTIVO,58015
2024-01-16,ENTRE RÍOS,COLECTIVO,48457
2024-01-16,FORMOSA,COLECTIVO,22344
